date,open,high,low,close,volume,maturity
2024-12-25,4.5867,4.5867,4.5867,4.5867,0,10y
2024-12-26,4.597,4.639,4.573,4.5787,0,10y
2024-12-27,4.585,4.631,4.573,4.6233,0,10y
2024-12-30,4.627,4.629,4.535,4.5447,0,10y
2024-12-31,4.5447,4.587,4.507,4.573,0,10y
2025-01-01,4.573,4.573,4.573,4.573,0,10y
2025-01-02,4.573,4.599,4.517,4.5711,0,10y
2025-01-03,4.5711,4.604,4.535,4.5995,0,10y
2025-01-06,4.626,4.642,4.575,4.6198,0,10y
2025-01-07,4.632,4.699,4.606,4.687,0,10y
2025-01-08,4.685,4.73,4.665,4.6729,0,10y
2025-01-09,4.685,4.691,4.642,4.6811,0,10y
2025-01-10,4.677,4.788,4.677,4.7675,0,10y
2025-01-13,4.7675,4.805,4.759,4.7882,0,10y
2025-01-14,4.766,4.809,4.751,4.7883,0,10y
2025-01-15,4.786,4.788,4.637,4.649,0,10y
2025-01-16,4.659,4.694,4.588,4.6105,0,10y
2025-01-17,4.619,4.637,4.566,4.6108,0,10y
2025-01-20,4.6108,4.6108,4.6108,4.6108,0,10y
2025-01-21,4.552,4.591,4.532,4.5602,0,10y
2025-01-22,4.593,4.617,4.556,4.6028,0,10y
2025-01-23,4.605,4.664,4.597,4.6436,0,10y
2025-01-24,4.638,4.66,4.605,4.6214,0,10y
2025-01-27,4.601,4.601,4.498,4.5303,0,10y
2025-01-28,4.557,4.579,4.532,4.5364,0,10y
2025-01-29,4.536,4.591,4.512,4.5506,0,10y
2025-01-30,4.541,4.545,4.488,4.5224,0,10y
2025-01-31,4.525,4.581,4.5,4.5468,0,10y
2025-02-03,4.557,4.567,4.462,4.5347,0,10y
2025-02-04,4.565,4.598,4.509,4.5126,0,10y
2025-02-05,4.529,4.529,4.4,4.4281,0,10y
2025-02-06,4.424,4.46,4.412,4.4402,0,10y
2025-02-07,4.436,4.513,4.4,4.4886,0,10y
2025-02-10,4.485,4.509,4.46,4.4988,0,10y
2025-02-11,4.4988,4.547,4.4988,4.5373,0,10y
2025-02-12,4.541,4.66,4.527,4.6309,0,10y
2025-02-13,4.619,4.619,4.515,4.5308,0,10y
2025-02-14,4.535,4.546,4.447,4.4782,0,10y
2025-02-17,4.4782,4.4782,4.4782,4.4782,0,10y
2025-02-18,4.492,4.56,4.488,4.5523,0,10y
2025-02-19,4.556,4.576,4.529,4.5346,0,10y
2025-02-20,4.531,4.535,4.492,4.5053,0,10y
2025-02-21,4.505,4.511,4.406,4.4255,0,10y
2025-02-24,4.4255,4.456,4.389,4.3984,0,10y
2025-02-25,4.394,4.394,4.285,4.2907,0,10y
2025-02-26,4.287,4.339,4.245,4.2524,0,10y
2025-02-27,4.269,4.313,4.26,4.2752,0,10y
2025-02-28,4.26,4.277,4.195,4.1968,0,10y
2025-03-03,4.24,4.263,4.148,4.1551,0,10y
2025-03-04,4.14,4.252,4.108,4.2042,0,10y
2025-03-05,4.229,4.294,4.187,4.2804,0,10y
2025-03-06,4.305,4.344,4.267,4.2918,0,10y
